month,provider_code,provider_name,type1_attendances,type2_attendances,type3_attendances,type23_attendances,total_attendances,over_4hr_waits,pct_within_4hrs,admissions
01/12/2024,RC9,Bedfordshire Hospitals NHS Foundation Trust,"16,743",0,"10,809","10,809","27,552","7,825",71.6,"4,855"
01/12/2024,RGT,Cambridge University Hospitals NHS Foundation Trust,"10,958",0,"5,725","5,725","16,683","5,389",67.7,"2,956"
01/12/2024,RWH,East And North Hertfordshire NHS Trust,"9,297",0,"7,603","7,603","16,900","5,648",66.6,"2,973"
01/12/2024,RDE,East Suffolk And North Essex NHS Foundation Trust,"14,334",0,"16,301","16,301","30,635","8,015",73.8,"7,088"
01/12/2024,RY4,Hertfordshire Community NHS Trust,0,0,899,899,899,20,97.8,0
01/12/2024,DT301,Herts Urgent Care (Ascots Lane),0,0,"1,884","1,884","1,884",38,98,0
01/12/2024,RGP,James Paget University Hospitals NHS Foundation Trust,"7,082",0,"1,467","1,467","8,549","3,242",62.1,"1,651"
01/12/2024,RAJ,Mid And South Essex NHS Foundation Trust,"31,220",0,"5,314","5,314","36,534","13,046",64.3,"9,130"
01/12/2024,RD8,Milton Keynes University Hospital NHS Foundation Trust,"9,149",0,"5,996","5,996","15,145","4,841",68,"2,287"
01/12/2024,RM1,Norfolk And Norwich University Hospitals NHS Foundation Trust,"12,479",0,"8,736","8,736","21,215","4,167",80.4,"2,611"
01/12/2024,RGN,North West Anglia NHS Foundation Trust,"15,892",0,"4,831","4,831","20,723","7,973",61.5,"3,809"
01/12/2024,Y02428,Putnoe Walk In Centre,0,0,"4,070","4,070","4,070",0,100,0
01/12/2024,RQW,The Princess Alexandra Hospital NHS Trust,"8,022",0,"3,017","3,017","11,039","4,949",55.2,"1,671"
01/12/2024,RCX,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust","7,060",0,"1,308","1,308","8,368","3,458",58.7,"2,318"
01/12/2024,RWG,West Hertfordshire Teaching Hospitals NHS Trust,"8,756",0,"8,128","8,128","16,884","3,986",76.4,"4,120"
01/12/2024,RGR,West Suffolk NHS Foundation Trust,"7,953",0,785,785,"8,738","3,316",62.1,"1,999"
01/12/2024,G0Q0L,Barking Hospital Utc,0,0,"2,841","2,841","2,841",35,98.8,0
01/12/2024,RF4,"Barking, Havering And Redbridge University Hospitals NHS Trust","14,055","2,222","14,557","16,779","30,834","6,804",77.9,"7,952"
01/12/2024,R1H,Barts Health NHS Trust,"25,805",865,"18,338","19,203","45,008","13,365",70.3,"4,698"
01/12/2024,AD913,Beckenham Beacon Ucc,0,0,"4,052","4,052","4,052",76,98.1,0
01/12/2024,RYX,Central London Community Healthcare NHS Trust,0,0,"12,705","12,705","12,705",358,97.2,0
01/12/2024,RQM,Chelsea And Westminster Hospital NHS Foundation Trust,"20,607",0,"6,731","6,731","27,338","6,672",75.6,"2,779"
01/12/2024,RJ6,Croydon Health Services NHS Trust,"13,669",0,"5,536","5,536","19,205","5,528",71.2,"1,256"
01/12/2024,RVR,Epsom And St Helier University Hospitals NHS Trust,"12,222",282,"1,370","1,652","13,874","3,909",71.8,"2,116"
01/12/2024,RJ1,Guy's And St Thomas' NHS Foundation Trust,"10,355",661,"6,289","6,950","17,305","4,831",72.1,"2,095"
01/12/2024,K6K0R,Harold Wood Polyclinic Utc,0,0,"2,880","2,880","2,880",18,99.4,0
01/12/2024,RQX,Homerton Healthcare NHS Foundation Trust,"11,164",0,0,0,"11,164","2,904",74,"1,732"
01/12/2024,RYJ,Imperial College Healthcare NHS Trust,"12,417","3,351","7,892","11,243","23,660","5,872",75.2,"3,792"
01/12/2024,RJZ,King's College Hospital NHS Foundation Trust,"15,479",0,"10,508","10,508","25,987","7,311",71.9,"3,847"
01/12/2024,RAX,Kingston And Richmond NHS Foundation Trust,"7,469",0,"8,388","8,388","15,857","4,245",73.2,"2,456"
01/12/2024,RJ2,Lewisham And Greenwich NHS Trust,"14,817",0,"11,293","11,293","26,110","9,364",64.1,"5,067"
01/12/2024,R1K,London North West University Healthcare NHS Trust,"14,095",0,"15,063","15,063","29,158","9,007",69.1,"6,234"
01/12/2024,RP6,Moorfields Eye Hospital NHS Foundation Trust,0,"5,063",0,"5,063","5,063",81,98.4,2
01/12/2024,RAP,North Middlesex University Hospital NHS Trust,"8,593",407,"7,636","8,043","16,636","6,049",63.6,"1,548"
01/12/2024,RAL,Royal Free London NHS Foundation Trust,"17,780",0,"9,195","9,195","26,975","5,922",78,"3,785"
01/12/2024,RAN,Royal National Orthopaedic Hospital NHS Trust,0,0,0,0,0,0,,0
01/12/2024,RJ7,St George's University Hospitals NHS Foundation Trust,"9,615",0,"3,075","3,075","12,690","2,580",79.7,"2,760"
01/12/2024,RAS,The Hillingdon Hospitals NHS Foundation Trust,"6,404",0,"6,714","6,714","13,118","3,987",69.6,"2,017"
01/12/2024,Y03218,The Pinn Unregistered Wic,0,0,"1,035","1,035","1,035",0,100,0
01/12/2024,RRV,University College London Hospitals NHS Foundation Trust,"13,221",0,0,0,"13,221","3,911",70.4,"1,387"
01/12/2024,Y02147,Urgent Care Centre (Qms),0,0,"8,781","8,781","8,781",247,97.2,0
01/12/2024,RKE,Whittington Health NHS Trust,"9,388",0,0,0,"9,388","3,013",67.9,"1,216"
01/12/2024,NL7,Assura Vertis Urgent Care Centres (Birmingham),0,0,"4,899","4,899","4,899",0,100,0
01/12/2024,8J094,Badger Ltd,0,0,"1,541","1,541","1,541",0,100,0
01/12/2024,RQ3,Birmingham Women's And Children's NHS Foundation Trust,"5,924",0,0,0,"5,924","2,003",66.2,996
01/12/2024,RFS,Chesterfield Royal Hospital NHS Foundation Trust,"7,022",0,"6,442","6,442","13,464","3,996",70.3,"3,103"
01/12/2024,RYG,Coventry And Warwickshire Partnership NHS Trust,0,0,0,0,0,0,,5
01/12/2024,RY8,Derbyshire Community Health Services NHS Foundation Trust,0,0,"8,416","8,416","8,416",53,99.4,0
01/12/2024,NNJ,Dhu Health Care C.I.C,0,0,"2,279","2,279","2,279",0,100,0
01/12/2024,Y03007,Erdington GP Health & Wellbeing Wic,0,0,"2,525","2,525","2,525",0,100,0
01/12/2024,RLT,George Eliot Hospital NHS Trust,"7,472",0,"1,626","1,626","9,098","2,891",68.2,"1,248"
01/12/2024,RNQ,Kettering General Hospital NHS Foundation Trust,"10,805",0,"9,823","9,823","20,628","4,787",76.8,"1,909"
01/12/2024,C82038,Latham House Medical Practice,0,0,255,255,255,0,100,0
01/12/2024,RY5,Lincolnshire Community Health Services NHS Trust,0,0,"8,592","8,592","8,592",324,96.2,0
01/12/2024,NNJ0H,Llr Ea - The Merlyn Vaz Health & Social Care Centre,0,0,"2,455","2,455","2,455",0,100,0
01/12/2024,NNJ07,Loughborough Urgent Care Centre,0,0,"7,038","7,038","7,038",40,99.4,0
01/12/2024,NNJ12,Market Harborough,0,0,637,637,637,0,100,0
01/12/2024,C82009,Market Harborough Med.Ctr,0,0,228,228,228,0,100,0
01/12/2024,NNJ13,Melton Mowbray,0,0,555,555,555,1,99.8,0
01/12/2024,RNS,Northampton General Hospital NHS Trust,"10,672",490,"2,858","3,348","14,020","4,992",64.4,"2,236"
