month,provider_code,provider_name,type1_attendances,type2_attendances,type3_attendances,type23_attendances,total_attendances,over_4hr_waits,pct_within_4hrs,admissions
01/02/2025,RC9,Bedfordshire Hospitals NHS Foundation Trust,"14,688",0,"8,999","8,999","23,687","6,486",72.6,"4,304"
01/02/2025,RGT,Cambridge University Hospitals NHS Foundation Trust,"9,923",0,"5,529","5,529","15,452","4,825",68.8,"2,434"
01/02/2025,RWH,East And North Hertfordshire NHS Trust,"8,035",0,"6,880","6,880","14,915","4,605",69.1,"2,498"
01/02/2025,RDE,East Suffolk And North Essex NHS Foundation Trust,"12,248",0,"14,066","14,066","26,314","6,448",75.5,"6,214"
01/02/2025,RY4,Hertfordshire Community NHS Trust,0,0,"1,019","1,019","1,019",15,98.5,0
01/02/2025,DT301,Herts Urgent Care (Ascots Lane),0,0,"1,895","1,895","1,895",52,97.3,0
01/02/2025,RGP,James Paget University Hospitals NHS Foundation Trust,"6,286",0,"1,389","1,389","7,675","2,714",64.6,"1,459"
01/02/2025,RAJ,Mid And South Essex NHS Foundation Trust,"26,920",0,"3,566","3,566","30,486","9,968",67.3,"8,076"
01/02/2025,RD8,Milton Keynes University Hospital NHS Foundation Trust,"8,073",0,"4,805","4,805","12,878","3,415",73.5,"2,153"
01/02/2025,RM1,Norfolk And Norwich University Hospitals NHS Foundation Trust,"10,792",0,"7,401","7,401","18,193","3,503",80.7,"2,292"
01/02/2025,RGN,North West Anglia NHS Foundation Trust,"13,531",0,"4,376","4,376","17,907","6,021",66.4,"3,339"
01/02/2025,Y02428,Putnoe Walk In Centre,0,0,"3,152","3,152","3,152",0,100,0
01/02/2025,RQW,The Princess Alexandra Hospital NHS Trust,"7,328",0,"2,583","2,583","9,911","3,762",62,"1,587"
01/02/2025,RCX,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust","6,037",0,"1,069","1,069","7,106","2,929",58.8,"2,108"
01/02/2025,RWG,West Hertfordshire Teaching Hospitals NHS Trust,"7,727",0,"7,263","7,263","14,990","3,024",79.8,"3,978"
01/02/2025,RGR,West Suffolk NHS Foundation Trust,"6,728",0,653,653,"7,381","2,428",67.1,"1,557"
01/02/2025,G0Q0L,Barking Hospital Utc,0,0,"2,673","2,673","2,673",13,99.5,0
01/02/2025,RF4,"Barking, Havering And Redbridge University Hospitals NHS Trust","12,433","2,272","13,441","15,713","28,146","6,526",76.8,"7,312"
01/02/2025,R1H,Barts Health NHS Trust,"22,906",837,"16,926","17,763","40,669","12,180",70.1,"4,143"
01/02/2025,AD913,Beckenham Beacon Ucc,0,0,"3,574","3,574","3,574",96,97.3,0
01/02/2025,RYX,Central London Community Healthcare NHS Trust,0,0,"11,689","11,689","11,689",264,97.7,0
01/02/2025,RQM,Chelsea And Westminster Hospital NHS Foundation Trust,"18,231",0,"5,691","5,691","23,922","6,194",74.1,"2,563"
01/02/2025,RJ6,Croydon Health Services NHS Trust,"11,931",0,"4,589","4,589","16,520","4,204",74.6,"1,139"
01/02/2025,RVR,Epsom And St Helier University Hospitals NHS Trust,"10,156",356,"1,265","1,621","11,777","3,135",73.4,"1,797"
01/02/2025,RJ1,Guy's And St Thomas' NHS Foundation Trust,"9,085",702,"6,171","6,873","15,958","3,727",76.6,"1,883"
01/02/2025,K6K0R,Harold Wood Polyclinic Utc,0,0,"2,654","2,654","2,654",7,99.7,0
01/02/2025,RQX,Homerton Healthcare NHS Foundation Trust,"10,056",0,0,0,"10,056","2,077",79.3,"1,660"
01/02/2025,RYJ,Imperial College Healthcare NHS Trust,"11,067","3,367","6,900","10,267","21,334","5,382",74.8,"3,265"
01/02/2025,RJZ,King's College Hospital NHS Foundation Trust,"14,163",0,"9,273","9,273","23,436","6,828",70.9,"3,307"
01/02/2025,RAX,Kingston And Richmond NHS Foundation Trust,"6,478",0,"7,589","7,589","14,067","3,313",76.4,"2,343"
01/02/2025,RJ2,Lewisham And Greenwich NHS Trust,"12,884",0,"10,368","10,368","23,252","7,968",65.7,"4,406"
01/02/2025,R1K,London North West University Healthcare NHS Trust,"12,788",0,"13,626","13,626","26,414","6,895",73.9,"5,893"
01/02/2025,RP6,Moorfields Eye Hospital NHS Foundation Trust,0,"5,007",0,"5,007","5,007",65,98.7,0
01/02/2025,RAT,North East London NHS Foundation Trust,0,0,"1,349","1,349","1,349",37,97.3,0
01/02/2025,RAL,Royal Free London NHS Foundation Trust,"23,359",456,"14,710","15,166","38,525","10,299",73.3,"4,305"
01/02/2025,RAN,Royal National Orthopaedic Hospital NHS Trust,0,0,0,0,0,0,,0
01/02/2025,RJ7,St George's University Hospitals NHS Foundation Trust,"8,557",0,"2,886","2,886","11,443","2,189",80.9,"2,380"
01/02/2025,RAS,The Hillingdon Hospitals NHS Foundation Trust,"5,687",0,"5,922","5,922","11,609","3,298",71.6,"1,715"
01/02/2025,Y03218,The Pinn Unregistered Wic,0,0,695,695,695,0,100,0
