month,provider_code,provider_name,type1_attendances,type2_attendances,type3_attendances,type23_attendances,total_attendances,over_4hr_waits,pct_within_4hrs,admissions
01/01/2025,RC9,Bedfordshire Hospitals NHS Foundation Trust,"15,468",0,"9,712","9,712","25,180","7,204",71.4,"4,816"
01/01/2025,RGT,Cambridge University Hospitals NHS Foundation Trust,"10,098",0,"5,846","5,846","15,944","4,704",70.5,"2,743"
01/01/2025,RWH,East And North Hertfordshire NHS Trust,"8,687",0,"7,191","7,191","15,878","4,846",69.5,"2,955"
01/01/2025,RDE,East Suffolk And North Essex NHS Foundation Trust,"12,889",0,"14,577","14,577","27,466","6,519",76.3,"6,579"
01/01/2025,RY4,Hertfordshire Community NHS Trust,0,0,"1,125","1,125","1,125",37,96.7,0
01/01/2025,DT301,Herts Urgent Care (Ascots Lane),0,0,"2,063","2,063","2,063",56,97.3,0
01/01/2025,RGP,James Paget University Hospitals NHS Foundation Trust,"6,535",0,"1,515","1,515","8,050","3,057",62,"1,611"
01/01/2025,RAJ,Mid And South Essex NHS Foundation Trust,"28,976",0,"3,905","3,905","32,881","11,317",65.6,"8,992"
01/01/2025,RD8,Milton Keynes University Hospital NHS Foundation Trust,"8,432",0,"4,961","4,961","13,393","3,696",72.4,"2,167"
01/01/2025,RM1,Norfolk And Norwich University Hospitals NHS Foundation Trust,"12,018",0,"8,406","8,406","20,424","4,154",79.7,"2,563"
01/01/2025,RGN,North West Anglia NHS Foundation Trust,"14,552",0,"4,436","4,436","18,988","6,313",66.8,"3,792"
01/01/2025,Y02428,Putnoe Walk In Centre,0,0,"3,234","3,234","3,234",0,100,0
01/01/2025,RQW,The Princess Alexandra Hospital NHS Trust,"7,889",0,"2,534","2,534","10,423","4,506",56.8,"1,692"
01/01/2025,RCX,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust","6,370",0,"1,131","1,131","7,501","2,953",60.6,"2,035"
01/01/2025,RWG,West Hertfordshire Teaching Hospitals NHS Trust,"8,229",0,"7,492","7,492","15,721","3,102",80.3,"4,215"
01/01/2025,RGR,West Suffolk NHS Foundation Trust,"7,481",0,669,669,"8,150","2,959",63.7,"1,829"
01/01/2025,G0Q0L,Barking Hospital Utc,0,0,"2,777","2,777","2,777",12,99.6,0
01/01/2025,RF4,"Barking, Havering And Redbridge University Hospitals NHS Trust","13,814","2,497","14,157","16,654","30,468","6,789",77.7,"8,389"
01/01/2025,R1H,Barts Health NHS Trust,"25,012",944,"17,880","18,824","43,836","12,830",70.7,"4,453"
01/01/2025,AD913,Beckenham Beacon Ucc,0,0,"3,803","3,803","3,803",33,99.1,0
01/01/2025,RYX,Central London Community Healthcare NHS Trust,0,0,"12,482","12,482","12,482",174,98.6,0
01/01/2025,RQM,Chelsea And Westminster Hospital NHS Foundation Trust,"20,200",0,"6,169","6,169","26,369","6,786",74.3,"2,841"
01/01/2025,RJ6,Croydon Health Services NHS Trust,"12,997",0,"5,212","5,212","18,209","5,139",71.8,"1,209"
01/01/2025,RVR,Epsom And St Helier University Hospitals NHS Trust,"10,999",351,"1,489","1,840","12,839","3,243",74.7,"1,921"
01/01/2025,RJ1,Guy's And St Thomas' NHS Foundation Trust,"9,690",724,"6,461","7,185","16,875","4,004",76.3,"2,114"
01/01/2025,K6K0R,Harold Wood Polyclinic Utc,0,0,"2,825","2,825","2,825",4,99.9,0
01/01/2025,RQX,Homerton Healthcare NHS Foundation Trust,"10,961",0,0,0,"10,961","2,378",78.3,"1,836"
01/01/2025,RYJ,Imperial College Healthcare NHS Trust,"12,227","3,650","7,672","11,322","23,549","5,800",75.4,"3,723"
01/01/2025,RJZ,King's College Hospital NHS Foundation Trust,"15,149",0,"10,034","10,034","25,183","7,573",69.9,"3,632"
01/01/2025,RAX,Kingston And Richmond NHS Foundation Trust,"7,258",0,"7,797","7,797","15,055","3,984",73.5,"2,626"
01/01/2025,RJ2,Lewisham And Greenwich NHS Trust,"14,126",0,"10,954","10,954","25,080","8,801",64.9,"5,055"
01/01/2025,R1K,London North West University Healthcare NHS Trust,"13,728",0,"14,754","14,754","28,482","7,622",73.2,"6,525"
01/01/2025,RP6,Moorfields Eye Hospital NHS Foundation Trust,0,"5,778",0,"5,778","5,778",117,98,1
01/01/2025,RAT,North East London NHS Foundation Trust,0,0,"1,674","1,674","1,674",46,97.3,0
01/01/2025,RAL,Royal Free London NHS Foundation Trust,"25,100",472,"15,445","15,917","41,017","10,934",73.3,"5,020"
01/01/2025,RAN,Royal National Orthopaedic Hospital NHS Trust,0,0,0,0,0,0,,0
01/01/2025,RJ7,St George's University Hospitals NHS Foundation Trust,"9,333",0,"3,322","3,322","12,655","2,745",78.3,"2,575"
01/01/2025,RAS,The Hillingdon Hospitals NHS Foundation Trust,"5,973",0,"6,578","6,578","12,551","3,689",70.6,"1,815"
01/01/2025,Y03218,The Pinn Unregistered Wic,0,0,897,897,897,0,100,0
01/01/2025,RRV,University College London Hospitals NHS Foundation Trust,"13,061",0,0,0,"13,061","3,457",73.5,"1,343"
01/01/2025,Y02147,Urgent Care Centre (Qms),0,0,"8,228","8,228","8,228",179,97.8,0
01/01/2025,RKE,Whittington Health NHS Trust,"9,061",0,0,0,"9,061","2,865",68.4,"1,137"
01/01/2025,NL7,Assura Vertis Urgent Care Centres (Birmingham),0,0,"4,432","4,432","4,432",0,100,0
01/01/2025,8J094,Badger Ltd,0,0,"1,429","1,429","1,429",0,100,0
01/01/2025,RQ3,Birmingham Women's And Children's NHS Foundation Trust,"4,731",0,0,0,"4,731",744,84.3,967
01/01/2025,RFS,Chesterfield Royal Hospital NHS Foundation Trust,"6,756",0,"5,745","5,745","12,501","3,857",69.1,"3,024"
01/01/2025,RYG,Coventry And Warwickshire Partnership NHS Trust,0,0,0,0,0,0,,4
01/01/2025,RY8,Derbyshire Community Health Services NHS Foundation Trust,0,0,"8,066","8,066","8,066",94,98.8,0
01/01/2025,NNJ,Dhu Health Care C.I.C,0,0,"1,813","1,813","1,813",0,100,0
01/01/2025,Y03007,Erdington GP Health & Wellbeing Wic,0,0,"2,337","2,337","2,337",0,100,0
01/01/2025,RLT,George Eliot Hospital NHS Trust,"6,748",0,"1,527","1,527","8,275","2,397",71,"1,130"
01/01/2025,RNQ,Kettering General Hospital NHS Foundation Trust,"10,159",0,"8,542","8,542","18,701","3,875",79.3,"1,899"
01/01/2025,C82038,Latham House Medical Practice,0,0,305,305,305,0,100,0
01/01/2025,RY5,Lincolnshire Community Health Services NHS Trust,0,0,"7,706","7,706","7,706",273,96.5,0
01/01/2025,NNJ0H,Llr Ea - The Merlyn Vaz Health & Social Care Centre,0,0,"2,411","2,411","2,411",0,100,0
01/01/2025,NNJ07,Loughborough Urgent Care Centre,0,0,"7,843","7,843","7,843",46,99.4,0
01/01/2025,NNJ12,Market Harborough,0,0,677,677,677,0,100,0
01/01/2025,C82009,Market Harborough Med.Ctr,0,0,247,247,247,0,100,0
01/01/2025,NNJ13,Melton Mowbray,0,0,562,562,562,0,100,0
01/01/2025,RNS,Northampton General Hospital NHS Trust,"9,841",576,"2,363","2,939","12,780","4,118",67.8,"2,282"
01/01/2025,NR3,Nottingham Citycare Partnership,0,0,"5,409","5,409","5,409",604,88.8,0
01/01/2025,RX1,Nottingham University Hospitals NHS Trust,"15,464","1,684",296,"1,980","17,444","8,018",54,"4,567"
01/01/2025,NNJ14,Oadby,0,0,"3,890","3,890","3,890",0,100,0
01/01/2025,NNJ15,Oakham,0,0,430,430,430,0,100,0
01/01/2025,RXK,Sandwell And West Birmingham Hospitals NHS Trust,"11,281","1,103","8,325","9,428","20,709","5,309",74.4,"2,578"
01/01/2025,RK5,Sherwood Forest Hospitals NHS Foundation Trust,"10,447",0,"5,515","5,515","15,962","5,535",65.3,"3,786"
01/01/2025,R1D,Shropshire Community Health NHS Trust,0,0,"2,889","2,889","2,889",3,99.9,0
01/01/2025,C83023,Sleaford Medical Group,0,0,495,495,495,0,100,0
01/01/2025,Y02615,South Birmingham GP Walk In Centre,0,0,"7,079","7,079","7,079",0,100,0
01/01/2025,RJC,South Warwickshire University NHS Foundation Trust,"7,499",0,330,330,"7,829","2,820",64,"2,241"
01/01/2025,NQTE4,Summerfield Urgent Care Centre,0,0,"3,194","3,194","3,194",0,100,0
01/01/2025,RNA,The Dudley Group NHS Foundation Trust,"8,787",0,"4,911","4,911","13,698","3,044",77.8,"3,650"
01/01/2025,RL1,The Robert Jones And Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,0,0,0,0,0,0,,0
01/01/2025,RL4,The Royal Wolverhampton NHS Trust,"12,070",0,"8,801","8,801","20,871","3,821",81.7,"5,690"
01/01/2025,RXW,The Shrewsbury And Telford Hospital NHS Trust,"9,443",0,"2,370","2,370","11,813","5,635",52.3,"3,246"
01/01/2025,RWD,United Lincolnshire Teaching Hospitals NHS Trust,"15,569",0,"3,568","3,568","19,137","6,998",63.4,"4,703"
01/01/2025,RRK,University Hospitals Birmingham NHS Foundation Trust,"33,067",325,"1,986","2,311","35,378","13,794",61,"10,511"
01/01/2025,RKB,University Hospitals Coventry And Warwickshire NHS Trust,"11,610","1,525","6,128","7,653","19,263","5,536",71.3,"1,890"
01/01/2025,RTG,University Hospitals Of Derby And Burton NHS Foundation Trust,"19,513",0,"9,252","9,252","28,765","9,173",68.1,"3,964"
01/01/2025,RWE,University Hospitals Of Leicester NHS Trust,"21,070","1,977",0,"1,977","23,047","9,223",60,"6,400"
01/01/2025,RJE,University Hospitals Of North Midlands NHS Trust,"14,091",490,"8,517","9,007","23,098","7,766",66.4,"5,493"
01/01/2025,RBK,Walsall Healthcare NHS Trust,"9,072",0,"4,055","4,055","13,127","3,579",72.7,"3,896"
01/01/2025,RWP,Worcestershire Acute Hospitals NHS Trust,"12,351",0,"5,089","5,089","17,440","7,209",58.7,"2,758"
01/01/2025,RLQ,Wye Valley NHS Trust,"5,660","1,141",123,"1,264","6,924","2,488",64.1,"1,416"
01/01/2025,RCF,Airedale NHS Foundation Trust,"5,917",250,0,250,"6,167","2,341",62,"1,554"
01/01/2025,RFF,Barnsley Hospital NHS Foundation Trust,"8,683",0,0,0,"8,683","3,459",60.2,"2,894"
01/01/2025,RAE,Bradford Teaching Hospitals NHS Foundation Trust,"8,851",961,"2,947","3,908","12,759","2,289",82.1,"2,554"
