month,provider_code,provider_name,type1_attendances,type2_attendances,type3_attendances,type23_attendances,total_attendances,over_4hr_waits,pct_within_4hrs,admissions
01/11/2024,RC9,Bedfordshire Hospitals NHS Foundation Trust,"16,716",0,"9,472","9,472","26,188","6,826",73.9,"5,026"
01/11/2024,RGT,Cambridge University Hospitals NHS Foundation Trust,"11,061",0,"5,726","5,726","16,787","5,625",66.5,"2,773"
01/11/2024,RWH,East And North Hertfordshire NHS Trust,"9,358",0,"7,669","7,669","17,027","5,583",67.2,"3,397"
01/11/2024,RDE,East Suffolk And North Essex NHS Foundation Trust,"13,452",0,"15,328","15,328","28,780","7,551",73.8,"6,926"
01/11/2024,RY4,Hertfordshire Community NHS Trust,0,0,"1,002","1,002","1,002",12,98.8,0
01/11/2024,DT301,Herts Urgent Care (Ascots Lane),0,0,"2,106","2,106","2,106",43,98,0
01/11/2024,RGP,James Paget University Hospitals NHS Foundation Trust,"7,287",0,"1,326","1,326","8,613","3,175",63.1,"1,604"
01/11/2024,RAJ,Mid And South Essex NHS Foundation Trust,"30,830",0,"5,418","5,418","36,248","10,845",70.1,"9,110"
01/11/2024,RD8,Milton Keynes University Hospital NHS Foundation Trust,"8,934",0,"5,452","5,452","14,386","3,910",72.8,"2,069"
01/11/2024,RM1,Norfolk And Norwich University Hospitals NHS Foundation Trust,"12,235",0,"8,247","8,247","20,482","3,992",80.5,"2,625"
01/11/2024,RGN,North West Anglia NHS Foundation Trust,"15,333",0,"4,772","4,772","20,105","7,001",65.2,"3,791"
01/11/2024,Y02428,Putnoe Walk In Centre,0,0,"3,372","3,372","3,372",0,100,0
01/11/2024,RQW,The Princess Alexandra Hospital NHS Trust,"7,812",0,"2,478","2,478","10,290","4,639",54.9,"1,756"
01/11/2024,RCX,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust","6,813",0,"1,200","1,200","8,013","2,912",63.7,"2,051"
01/11/2024,RWG,West Hertfordshire Teaching Hospitals NHS Trust,"8,588",0,"8,227","8,227","16,815","4,049",75.9,"4,208"
01/11/2024,RGR,West Suffolk NHS Foundation Trust,"7,798",0,595,595,"8,393","2,998",64.3,"1,883"
01/11/2024,G0Q0L,Barking Hospital Utc,0,0,"2,882","2,882","2,882",20,99.3,0
01/11/2024,RF4,"Barking, Havering And Redbridge University Hospitals NHS Trust","13,817","2,346","13,830","16,176","29,993","6,894",77,"8,036"
01/11/2024,R1H,Barts Health NHS Trust,"25,692",985,"17,220","18,205","43,897","13,160",70,"4,509"
01/11/2024,AD913,Beckenham Beacon Ucc,0,0,"3,769","3,769","3,769",57,98.5,0
01/11/2024,RYX,Central London Community Healthcare NHS Trust,0,0,"12,500","12,500","12,500",200,98.4,0
01/11/2024,RQM,Chelsea And Westminster Hospital NHS Foundation Trust,"20,303",0,"6,519","6,519","26,822","6,902",74.3,"2,894"
01/11/2024,RJ6,Croydon Health Services NHS Trust,"13,201",0,"5,254","5,254","18,455","5,194",71.9,"1,417"
01/11/2024,RVR,Epsom And St Helier University Hospitals NHS Trust,"11,981",314,"1,390","1,704","13,685","3,792",72.3,"2,074"
01/11/2024,RJ1,Guy's And St Thomas' NHS Foundation Trust,"10,740",777,"7,075","7,852","18,592","4,765",74.4,"2,255"
01/11/2024,K6K0R,Harold Wood Polyclinic Utc,0,0,"2,902","2,902","2,902",9,99.7,0
01/11/2024,RQX,Homerton Healthcare NHS Foundation Trust,"10,915",0,0,0,"10,915","2,475",77.3,"1,823"
01/11/2024,RYJ,Imperial College Healthcare NHS Trust,"11,799","3,680","7,813","11,493","23,292","5,280",77.3,"3,907"
01/11/2024,RJZ,King's College Hospital NHS Foundation Trust,"15,557",0,"9,973","9,973","25,530","7,321",71.3,"3,897"
01/11/2024,RAX,Kingston And Richmond NHS Foundation Trust,"7,341",0,"8,383","8,383","15,724","4,116",73.8,"2,557"
01/11/2024,RJ2,Lewisham And Greenwich NHS Trust,"14,664",0,"10,734","10,734","25,398","8,998",64.6,"4,682"
01/11/2024,R1K,London North West University Healthcare NHS Trust,"13,834",0,"15,339","15,339","29,173","8,202",71.9,"6,245"
01/11/2024,RP6,Moorfields Eye Hospital NHS Foundation Trust,0,"5,659",0,"5,659","5,659",92,98.4,2
01/11/2024,RAP,North Middlesex University Hospital NHS Trust,"8,479",433,"6,803","7,236","15,715","5,718",63.6,"1,620"
01/11/2024,RAL,Royal Free London NHS Foundation Trust,"17,661",0,"8,788","8,788","26,449","6,612",75,"3,813"
01/11/2024,RAN,Royal National Orthopaedic Hospital NHS Trust,0,0,0,0,0,0,,0
01/11/2024,RJ7,St George's University Hospitals NHS Foundation Trust,"9,831",0,"3,242","3,242","13,073","3,124",76.1,"2,709"
01/11/2024,RAS,The Hillingdon Hospitals NHS Foundation Trust,"6,270",0,"7,004","7,004","13,274","3,965",70.1,"1,902"
01/11/2024,Y03218,The Pinn Unregistered Wic,0,0,"1,106","1,106","1,106",0,100,0
01/11/2024,RRV,University College London Hospitals NHS Foundation Trust,"13,619",0,0,0,"13,619","4,164",69.4,"1,359"
01/11/2024,Y02147,Urgent Care Centre (Qms),0,0,"8,444","8,444","8,444",259,96.9,0
01/11/2024,RKE,Whittington Health NHS Trust,"9,302",0,0,0,"9,302","2,715",70.8,"1,437"
01/11/2024,NL7,Assura Vertis Urgent Care Centres (Birmingham),0,0,"4,350","4,350","4,350",0,100,0
01/11/2024,8J094,Badger Ltd,0,0,"2,011","2,011","2,011",0,100,0
01/11/2024,RQ3,Birmingham Women's And Children's NHS Foundation Trust,"6,522",0,0,0,"6,522","2,458",62.3,"1,196"
01/11/2024,RFS,Chesterfield Royal Hospital NHS Foundation Trust,"7,229",0,"6,007","6,007","13,236","4,032",69.5,"3,139"
01/11/2024,RYG,Coventry And Warwickshire Partnership NHS Trust,0,0,0,0,0,0,,2
01/11/2024,RY8,Derbyshire Community Health Services NHS Foundation Trust,0,0,"7,929","7,929","7,929",39,99.5,0
01/11/2024,NNJ,Dhu Health Care C.I.C,0,0,"2,044","2,044","2,044",19,99.1,0
01/11/2024,Y03007,Erdington GP Health & Wellbeing Wic,0,0,"2,520","2,520","2,520",0,100,0
01/11/2024,RLT,George Eliot Hospital NHS Trust,"7,489",0,"1,710","1,710","9,199","2,679",70.9,"1,129"
